#OTUID,D11001,D11002,D11003,D11005,D11006,D11007,D11008,D11009,D11010,D11012,D11013,D11014,D11016,D11017,D11019,D11021,D11022,D11023,D11025,D11030,D11031,D11032,D11037,D11038,D11039,D11042,D11043,D11045,D11048,D11049,D11055,D11058,D11064,D11070,D11077,D11088,D11095,D11096,D11100,D11101,D11144,D11145,D11148,D11155,D11156,D11157,D11158,D11159,D11161,D11162,D11163,D11165,D11180,D11183,D11184,D11185,D11187,D11188,D11189,D11192,D11193,D11194,D11195,D11196,D12004,D12005,D12007,D12013,D12014,D12015,D12016,D12017,D12020,D12021,D12022,D12023,D12027,D12028,D12029,D12030,D12031,D12032,D12034,D12035,D12036,D12037,D12038,D12039,D12040,D12041,D12042,D12043,D12044,D12045,D12046,D12047,D12048,D12049,D12050,D12052,D12055,D12057,D12058,D12059,D12060,D12061,D12064,D13001,D13002,D13003,D13004,D13005,D13006,D13007,D13008,D13009,D13010,D13011,D13012,D13013,D13014,D13015,D13016,D13018,D13020,D13021,D13022,D13023,D13025,D13026,D13027,D13028,D13029,D13030,D13031,D13032,D13033,D13034,D13035,D13036,D13037,D13038,D13039,D13040,D13041,D13042,D13043,D13044,D13045,D13046,D13048,D13050,D13051,D13052,D13053,D13054,D13055,D13056,D13058,D13060,D13061,D13063,D13065,D13067,D13068,D13069,D13070,D13071,D13072,D13073,D13074,D13075,D13076,D13077,D13078,D13079,D13080,D13081,D13082,D13083,D13084,D13085,D13087,D13088,D13089,D13090,D13091,D13092,D13093,D13094,D13095,D13096,D13097,D13098,D13099,D13100,D13101,D13102,D13103,D13104,D13105,D13106,D13108,D13109,D13110,D13111,D13112,D13113,D13114,D13115,D13116,D13117,D13118,D13119,D13120,D13121,D13122,D13123,D13124,D13125,D13126,D13127,D13128,D13129,D13130,D13131,D13132,D13133,D13134,D13136,D13138,D13139,D13140,D13141,D13142,D13143,D13144,D13145,D13147,D13149,D13150,D13151,D13152,D13153,D13154,D13155,D13156,D13157,D13158,D13159,D13160,D13162,D13163,D13164,D13165,D13166,D13167,D13169,D13170,D13172,D13173,D13174,D13176,D13177,D13178,D13181,D13182,D13184,D13185,D13186,D13187,D13188,D13189,D13190,D13191,D21001,D21002,D21003,D21005,D21007,D21008,D21009,D21012,D21013,D21014,D21015,D21018,D21019,D21020,D21021,D21022,D21024,D21025,D21026,D21027,D21028,D21029,D21030,D21032,D21036,D21038,D21039,D21040,D21041,D21043,D21045,D21046,D21047,D21048,D21049,D21050,D21054,D21055,D21056,D21057,D21058,D21059,D21060,D21061,D21062,D21063,D21064,D21065,D21066,D21067,D21068,D21069,D21070,D21071,D21072,D21074,D21075,D21076,D21077,D21078,D21080,D21081,D21084,D21085,D21086,D21087,D21088,D21089,D21090,D21091,D21092,D21093,D21095,D21096,D21097,D21098,D21099,D21100,D21101,D21102,D21103,D21104,D21106,D21107,D21108,D21109,D21110,D21111,D21112,D21113,D21114,D21115,D21116,D21117,D21118,D21119,D21120,D21121,D21122,D21124,D21125,D21126,D21127,D21128,D21131,D21132,D21133,D21134,D21136,D21137,D21138,D21139,D21140,D21141,D21142,D21145,D21146,D21147,D21149,D21150,D21151,D21152,D21153,D21154,D21155,D21156,D21157,D21158,D21159,D21160,D21161,D21162,D21163,D21164,D21165,D21166,D21168,D21169,D21170,D21171,D21172,D21173,D21174,D21175,D21176,D21177,D21178,D21179,D21180,D21181,D21182,D21183,D21184,D21185,D21186,D21187,D21189,D21190,D21191,D21194,D21196,D21197,D21198,D21199,D21200,D22003,D22004,D22005,D22006,D22012,D22013,D22019,D22021,D22022,D22025,D22027,D22028,D22061,D22068,D22109,D22117,D22118,D22170
ASV_1,1263,756,980,1185,905,2839,8225,18021,2550,1069,14191,1006,16932,11444,3694,7934,719,20670,7308,7368,8759,4125,15994,10000,10266,6803,2907,280,7089,34366,1860,7694,1510,13225,1740,22485,9630,3113,11102,1082,2151,3200,7867,16784,831,9706,14793,7073,476,1420,39085,464,1011,12778,17703,4181,8014,618,31915,24151,1057,10889,1319,900,1617,1626,437,14032,1977,2366,7492,834,8305,2696,14585,9008,6790,1304,59,26391,4440,5807,7591,2695,28545,22076,930,7177,3769,16132,6017,11620,6154,1340,14247,21397,4454,22197,11867,2860,1354,757,1952,1119,19650,14022,949,23632,1799,679,15249,26114,16006,2630,5767,4368,24272,1235,13796,5353,10695,10005,24423,8197,17021,2255,5587,16670,8317,13848,10144,8897,21098,24414,1104,8763,12632,7113,1216,5532,895,8980,5303,21434,8696,1030,4138,23467,22399,17287,7479,5120,11824,987,15753,201,5740,12235,26332,16612,23314,22151,9771,15754,14192,1329,23919,5987,4561,19115,4582,6850,11012,13662,13151,13266,15612,7129,25068,19573,156,1874,1764,2129,13082,1672,940,2303,4061,28003,2889,1813,30443,14165,3985,1932,2160,8947,6786,11518,7884,19356,3048,11404,12167,11532,880,15594,2874,9421,4138,9587,1436,3122,1813,13743,10174,1485,10409,11736,613,8308,25744,13841,17479,24659,2366,9657,14635,10091,1280,5603,12012,16182,1614,1859,29125,4476,6680,5135,20905,3602,10637,1109,17479,11296,24263,38443,4784,18990,80,13735,5691,3602,29080,18874,4313,2223,1438,2865,1676,17918,1068,21583,28945,24195,9292,21123,1068,28842,6597,27683,1444,7671,2315,18057,2008,1346,8612,37343,1197,1109,3369,21123,36273,8165,1833,3639,31086,5836,1215,29396,3746,6159,719,1086,29754,10053,3537,4659,566,37317,24675,638,2401,11943,5145,1566,10711,3924,443,1920,1287,1252,1340,829,1521,1998,1588,225,1663,768,940,223,334,346,298,625,305,1012,1052,781,565,1097,1259,1181,744,989,301,298,319,964,343,859,867,334,864,325,28842,21845,309,7104,4549,832,8966,1625,1288,10948,10914,7520,1691,17494,11403,1466,14878,7877,5901,7121,3469,5582,7567,10014,11635,529,10385,25442,5029,21874,23425,10393,6922,7938,15936,8453,9968,6545,2543,5818,548,5876,425,4206,2233,4715,8725,6409,3679,11220,6813,926,2899,893,699,1506,8446,6450,4936,6181,21509,658,1605,28555,26240,1425,3188,1336,730,817,8040,1829,1330,591,1274,1626,757,28979,4792,929,2676,1092,2527,2280,657,1683,1382,1393,1555,1162,1245,12860,8839,18765,12218,8479,4496,1385,19016,1763,11465,17641,22245,11552,11734,8187,759,26421,4513,1528
ASV_2,191,197,202,1269,272,2397,121,15781,139,631,270,280,1273,127,406,520,45,419,206,21439,21292,6898,341,308,248,4777,3222,1425,225,160,11959,117,5993,200,1224,48,222,30,69,70,26090,33,93,93,71,51,72,23,29,84,57,32,57,55,68,11719,53,65,171,80,127,75,74,57,746,67,244,105,66,972,112,73,38,59,141,9721,182,62,19,69,76,116,25179,112,63,7623,113,183,8338,6683,85,146,36,136,8639,86,2369,90,101,61,947,42,31,60,56,69,58,81,54,32,70,59,62,27,27,57,69,65,58,7872,2686,2331,79,70,78,96,27,154,2258,137,2461,3457,124,160,91,356,117,303,6852,126,111,16233,90,113,285,96,136,100,148,165,281,110,14287,126,9596,66,99,2246,137,4961,6406,200,85,180,129,421,73,302,27636,157,47,117,34,149,6991,159,167,131,67,149,30,158,180,153,147,49,110,90,106,124,114,262,126,161,185,8224,6342,10121,14833,155,101,99,2024,1328,2572,193,94,189,104,147,167,194,183,136,131,12480,98,3059,872,178,72,111,182,170,241,169,139,151,1426,116,136,122,102,190,118,14249,320,119,164,229,141,73,85,276,6960,110,192,258,60,12542,11,138,118,14217,183,288,213,285,187,11692,106,95,129,144,16002,150,139,164,140,306,113,123,110,91,105,172,88,88,409,68,80,1320,451,136,175,27189,81,212,132,71,92,106,1138,1283,116,406,138,137,100,119,122,117,158,166,56,165,156,3684,152,16002,135,22010,20585,19714,22447,204,22128,21491,24367,503,23326,18139,19408,1169,794,754,648,13621,703,25478,21046,21225,19883,28335,24860,23995,18879,26165,702,659,754,25496,706,20720,20676,745,19220,6036,579,432,6853,3210,355,6038,12232,20363,19030,10163,15046,5178,21059,304,6379,26292,379,2847,2197,4192,1075,3352,2167,13061,13831,6216,9894,363,1678,549,364,2571,2857,11089,11252,18587,17554,13516,8589,7344,1168,10448,655,10466,4262,14920,10102,96,124,8142,11678,110,72,121,46,123,4111,10140,11455,15263,333,93,37,269,297,116,74,132,115,7864,7457,3794,102,4592,116,134,6594,305,6879,117,123,45,5513,64,49,75,70,54,61,97,99,109,13225,87,91,10079,3302,3406,90,91,93,76,103,98,141,104,44,148,8500,249
ASV_3,2418,181,2047,604,2445,633,7040,516,139,72,1845,600,2996,5269,4256,5323,444,4891,440,3697,7947,310,1766,2414,3138,482,3355,13519,1087,2061,5019,934,477,9826,2822,109,1713,5401,2289,199,2802,904,1661,2040,3870,2840,6359,2636,2956,2709,5442,101,9684,2531,19546,3134,3168,2556,1998,1973,2976,2657,221,2715,3733,68,2118,90,368,3316,7852,18642,1546,2248,165,341,8459,681,120,811,119,9654,5981,2847,6945,2072,903,3033,519,494,3146,4234,1339,2704,7494,7220,1058,7310,2640,928,1602,317,576,8342,12562,309,203,11407,1586,1503,2261,1333,3405,946,2460,9874,4579,5913,1134,2148,1359,1126,2763,5915,1655,4309,7726,7682,1243,383,2538,1885,3326,3921,3460,4074,2924,2670,1326,2280,24102,3143,3590,8703,1352,4564,7370,7211,3051,2297,5917,1451,908,23515,1538,274,1411,766,1949,3931,3700,13441,3047,8517,8347,1024,3626,1812,7220,4321,1349,7919,8386,1362,10379,4408,2443,3334,3065,7883,2191,3756,4947,1956,12322,1415,496,1372,2907,776,970,2210,5907,9109,2754,3045,2532,2251,125,4679,3496,5165,6546,1157,3934,3899,3519,4148,4779,3156,2634,4751,821,2753,15432,3640,6584,1783,2262,3214,4128,915,6695,7596,3459,712,12269,1704,1509,4479,5186,1417,10418,5322,3960,313,744,1327,14130,9060,11692,2073,13144,10598,525,8851,2501,1289,4423,10131,5006,4891,5080,2072,5869,4369,4917,7347,1505,933,11037,1523,18193,1661,1983,1211,1133,7989,11593,2550,806,2261,11537,3312,4438,18949,3982,3343,1990,6013,5700,1478,6040,11807,1569,9144,348,525,3923,1676,3309,4653,2275,2286,2111,543,3287,2714,9806,1168,2990,9813,7828,14472,1523,5377,4267,6311,4263,3713,23957,1927,1664,940,3227,729,2106,570,1399,522,1175,842,603,920,496,906,811,831,626,3067,818,1964,1812,1580,2358,976,1581,1124,896,583,718,1167,767,2493,1958,622,2191,2594,2217,5117,1818,2171,7524,2539,1022,1467,2116,388,551,332,1878,3464,310,1094,1895,445,521,721,407,442,668,461,395,3088,524,3286,397,2579,3520,340,1376,634,513,507,676,542,578,940,371,659,270,790,355,351,680,121,866,760,874,777,45,791,42,1951,671,663,400,1012,2353,3253,33,1727,2907,1240,52,1514,2174,766,702,782,1885,554,1005,915,754,1250,1050,1842,1202,3280,1100,1481,1308,2209,858,3113,2338,3042,1493,956,2858,6155,1582,5265,1697,2721,7809,2504,2697,4586,8471,5114,5301,708,7019,2846,1209,79
ASV_4,31234,2371,4046,3499,1170,391,1730,2148,559,404,526,3406,2016,230,670,9530,3741,1475,1753,5311,6733,2823,789,874,613,10285,1559,8620,648,6870,1849,224,503,4250,2495,1456,358,4018,651,2311,647,524,2078,718,9610,1021,5265,1411,1545,3665,7677,37922,14327,460,2973,16368,2879,7475,1730,1732,3536,7609,4650,3628,1491,12994,2662,9198,1906,3465,5194,39915,7728,450,11439,932,7571,3685,27,3557,1903,23225,1928,2747,2062,3935,873,3072,4388,1101,1097,1164,1469,1492,695,6283,1274,1381,860,20464,350,573,252,30943,7821,11908,9528,1095,5895,7520,2810,873,3670,1441,4836,1680,2888,9977,5411,1619,5085,3343,4222,615,1403,1048,884,2253,1885,899,1381,890,4112,393,15827,6856,753,5426,6350,1510,7780,4596,495,2496,4079,10261,4317,3211,736,2096,3064,7356,1298,2093,2159,47,7427,547,755,666,923,2565,4870,4410,11495,2176,1655,5400,4142,4533,782,3443,2320,4514,1734,17489,3725,4012,8515,5798,477,2747,3021,748,765,607,14932,494,560,1205,521,9321,1128,543,3443,5086,602,1008,3066,2116,1997,3015,992,3019,1511,4436,9163,8549,16032,7622,10307,5538,9675,10453,9945,9260,3156,1463,3880,7514,1407,4503,4827,1600,5826,1658,9509,1920,4790,7802,4290,980,1378,4998,3094,3835,2937,2456,5213,7725,326,289,8091,9408,210,1998,800,1635,1073,1827,102,3583,2516,253,3800,627,395,6068,340,1634,1030,1945,18152,1002,2906,3332,1418,2597,6312,7796,1058,3305,5248,256,3561,1608,1030,6848,579,260,2681,4221,11782,2529,3684,2198,563,376,5040,132,955,730,733,594,2953,1049,2875,5384,672,771,14549,323,5439,20439,1345,1004,1061,475,2552,719,12285,370,319,290,343,4929,87,139,118,3661,223,119,131,3196,4561,4368,4285,89,4468,191,154,130,122,207,193,190,132,155,4215,4179,3976,155,4658,155,161,3985,123,820,595,502,483,291,254,2800,40,73,354,64,65,35,359,394,46,67,820,51,49,43,33,51,43,87,51,774,68,675,37,437,1135,54,56,38,65,42,54,44,75,106,48,133,27,285,21,46,55,155,34,33,36,27,17,35,24,37,55,37,33,45,646,36,14,577,510,40,21,39,36,1158,47,28,39,824,33,23,1003,363,44,45,54,148,111,234,157,225,228,156,187,3294,4734,6714,1675,3156,3305,5940,107,1041,6736,6995,1698,1691,2597,3452,12953,5402,16912,872,6380,1024
ASV_6,31,27,25,398,20495,8075,12160,64,51,33,27,38,42,20,54,66,36,97,30,65,69,19,74,66,50,74,24565,10735,105,60,61,49,4405,90,3229,16,0,19,17680,37,19,51,59,39,36,10,47,6499,22,36,43,74,31,97,55,42,62,30,60,22,24,55,60,43,22,27,21,29,17,44,23,41,50,795,34,43,35,14,25,30,73,62,13,25,37,35,42,60,57,9,18950,26,8840,24,47,106,1108,123,65,74,24855,26,24,89,71,1043,58,23,5601,48,100,79,37,44,4017,66,68,59,70,37,1,75,74,56,65,48,47,100,44,63,98,37,66,44,56,97,7510,87,97,33,52,4577,10457,41,47,57,48,54,130,103,86,4571,59,86,101,6,6756,102,70,85,94,66,56,69,67,13148,43,66,28,51,55,72,30,44,60,40,61,41,31,50,6,61,98,2861,51,984,104,15261,3029,48,24846,56,29,100,81,72,77,75,21,81,63,50,129,7704,100,162,281,219,197,134,2241,145,197,219,179,211,11909,23837,6447,161,111,206,223,148,220,209,221,18332,2968,281,243,166,246,272,24567,405,380,147,197,38,116,20870,67,2,63,51,99,90,73,47,0,65,61,71,100,22,50,107,33479,100,64,52,94,89,116,94,92,84,113,127,18085,109,60,11272,51,72,163,126,257,136,158,91,392,223,263,170,159,121,82,47,61,39,63,32010,86,59,81,63,35,5313,54,59,145,100,14941,55,71,101,80,74,46,181,138,99,153,116,152,157,154,77,74,37,55,57,111,77,67,99,106,44,49,68,69,89,58,49,43,115,99,76,96,107,75,87,89,86,66,33353,63,33,34056,62,46,22599,47,78,40,65,42,79,69,39,63,43,60,50,54,38,14,53,43,70,56,33177,46,43,69,52,3,45,34,62,69,75,69,38,32,35,24,52,81,3,120,290,343,4,26374,405,288,36316,68,31679,59,27884,413,191,200,248,397,26533,118,369,341,33906,90,31982,30994,33715,290,78,29935,43919,33125,32803,40078,409,161,32209,29531,21744,70,31588,29593,31010,32864,20259,29652,189,194,238,287,129,233,287,130,243,249,288,237,162,198,43,60,56,60,21,9,108
ASV_5,99,5456,12012,59,418,503,628,1517,163,82,1707,6846,276,2076,16767,431,55,300,216,333,331,167,2867,1846,1875,193,5174,4015,2357,636,12651,266,7082,8446,7026,523,3577,1241,912,9354,808,1112,761,963,458,2587,809,410,8203,15771,440,102,28984,263,3436,300,2334,229,506,382,12032,390,20855,356,2969,3413,745,3768,6792,5824,1796,538,1039,531,821,928,1492,646,34,3155,22985,1017,1297,9885,3207,5210,639,13436,812,2733,819,1818,935,150,540,1414,355,1489,484,332,191,10274,131,269,1657,1475,255,598,12407,162,404,1971,410,10975,211,18068,7021,11500,382,430,240,401,600,404,921,6715,183,2415,797,255,4505,603,709,410,8102,2925,238,4239,709,261,3333,857,1456,338,1210,164,16957,326,348,13653,3536,195,331,193,647,42,212,379,426,494,578,1286,198,744,3269,958,625,3521,409,625,282,362,416,12631,570,507,1438,5582,2687,2910,64,6923,23469,14473,674,1772,343,377,439,3391,422,14619,618,14924,10246,15100,13269,741,525,611,4439,475,1262,2754,2464,767,178,898,2603,565,312,598,206,333,1232,1031,1281,1971,1167,798,117,372,1112,743,5410,969,1814,1202,643,344,248,223,449,613,5655,323,727,310,2853,23421,1186,277,334,187,1072,6796,901,2051,162,1805,6,541,9855,325,737,1901,438,19319,217,7919,24703,557,326,1582,946,726,548,752,379,813,352,679,18215,330,14807,581,17849,11241,1138,1090,6313,3276,1265,1410,1839,978,545,661,1533,142,2113,371,276,389,9705,791,1003,493,223,3631,192,412,509,307,171,369,306,2440,506,381,149,6338,3063,3071,3821,950,4096,4365,4366,1004,5590,3235,3260,990,1009,1607,1159,2149,1069,4733,3368,2888,2443,5507,6001,3561,2597,3634,1483,1172,731,3629,1367,4343,4574,1159,4042,1134,7306,4813,889,6276,8193,1940,2424,1207,964,3015,2800,2993,1345,3723,3039,1200,3517,2402,3016,2424,2187,2893,3702,2833,3100,691,3493,5302,2840,5362,5241,3026,4049,1490,2683,1239,1491,958,415,1504,124,1394,82,517,273,1018,2471,108,115,3129,1695,78,70,86,21,120,2898,1328,735,1343,4334,56,27,5693,4601,114,61,105,69,972,2476,214,95,470,81,102,699,5729,839,84,87,253,372,256,161,301,284,228,254,28550,29426,498,511,397,787,706,241,20060,580,405,799,500,552,149,145,153,140,561,278,255
ASV_7,2549,3591,621,1144,420,758,1794,387,26366,25416,205,419,9586,258,200,1104,316,4714,20029,523,282,32277,1409,6518,4603,190,441,878,149,239,143,1251,257,618,254,427,432,3688,434,244,110,197,311,11497,4186,5921,819,250,308,5852,422,21541,2247,1964,201,1518,1169,337,244,1572,3467,2670,278,467,521,53,21944,65,88,817,4535,60,706,6338,3715,113,153,1167,13448,2463,29260,104,3128,1401,2035,652,130,5057,893,79,573,922,570,7231,8111,4701,1704,436,1256,10719,121,1777,507,5508,7161,122,15342,479,250,1038,1647,4318,794,31358,310,1646,1656,13242,903,1247,13545,9952,283,803,327,506,556,586,3030,901,5081,2227,12354,128,2395,282,180,215,5447,739,63,266,80,150,2002,3312,512,114,311,295,2252,437,104,95,116,7409,4560,4481,169,1748,915,682,3792,995,294,370,8081,3236,5267,118,21217,3989,3457,424,4105,3534,336,986,9467,1779,245,465,377,265,2321,1143,1897,8811,1517,5341,772,2228,4134,2640,3148,1028,182,321,2162,543,7656,773,1227,949,718,1670,221,178,1620,264,216,196,4282,498,126,1000,191,136,590,5695,3911,504,442,5359,2018,544,2264,4432,553,436,3042,537,310,284,218,1286,1368,1327,1660,67,7005,47,45,1128,65,1805,190,59,2564,1917,1588,208,277,85,2082,308,160,1599,319,60,187,419,402,173,349,1099,240,117,2796,3230,95,430,1875,149,230,72,197,711,188,20808,249,798,124,2447,318,534,8666,46487,4766,1520,97,3559,94,1924,17021,4528,7851,6198,7147,178,1305,623,1428,773,2600,156,5611,433,1320,1256,2823,138,121,91,159,53,104,92,86,25,117,97,40,11,20,45,22,69,37,89,79,110,120,68,77,137,88,96,17,33,24,68,36,121,86,12,114,596,53,52,455,1221,1760,1527,2234,164,330,595,2084,878,415,70,533,176,140,372,916,1511,729,575,1384,1327,506,608,463,144,1362,248,297,888,1178,3786,2236,1897,1388,2370,2227,3603,3486,2208,4321,2886,3303,5008,2493,21185,113,2392,2008,125,23363,150,35552,206,1134,3626,8638,5033,401,205,24788,436,260,166,33658,172,199,718,5113,10940,203,780,196,142,486,258,6195,204,172,81,6477,66,56,90,78,67,83,89,92,14213,258,194,173,867,11716,484,356,68,1055,117,183,998,481,1119,1925,237,10727,2683
ASV_8,363,122,6053,430,241,511,293,1320,4595,222,14151,536,512,552,4825,3173,377,2963,13577,243,201,118,1490,1990,1271,4200,3152,454,2034,256,6150,2045,988,1503,11819,1432,3268,2646,554,3375,3551,1563,2211,1963,310,524,667,383,2593,2188,183,195,240,834,4264,2735,11245,12541,4589,914,1138,4675,2157,251,1301,15454,946,1254,702,12465,601,716,686,356,341,3104,6545,903,22,1425,410,974,929,6721,528,1012,1347,4746,4075,1219,787,3091,2415,204,2275,2151,1612,4140,1175,6872,290,152,2831,476,658,663,1434,687,3637,5444,2674,664,1281,2506,192,5929,1220,1065,398,12450,353,4190,2958,604,7646,2982,1305,1075,2136,4941,3254,613,4113,1241,189,2022,314,2051,802,3797,749,1883,636,213,1712,1822,6533,2093,376,3102,2440,3693,3862,884,5770,33,324,504,1015,4781,3373,1841,1542,482,205,941,199,2727,405,8221,317,2062,588,3269,238,3003,405,313,227,2360,31,5968,1900,5257,327,169,251,313,3576,249,385,3027,474,959,2714,1048,3985,499,1710,359,4878,1080,1087,3343,3334,817,328,1403,620,755,366,1537,1112,1611,776,3965,1762,585,773,2573,6050,354,1696,981,1960,3153,1610,2158,2371,979,467,703,928,1856,1807,7653,689,828,4929,798,2689,564,150,289,1025,438,4484,2419,200,3008,7,1614,2530,4556,2599,1045,4021,2760,670,2715,2154,4356,3859,2554,341,2852,2375,1746,2136,295,218,1839,186,472,3814,5991,4763,207,5429,114,800,2549,1139,3432,2401,1123,1019,199,8700,106,15865,227,606,498,6206,6981,3437,424,2478,1940,312,205,9685,10120,1656,344,3589,7995,388,3505,248,2746,2248,1571,2557,13709,2722,1417,2781,9033,2254,1560,1579,17573,14060,12525,14063,1129,14332,3508,1502,1950,2247,3657,4288,1999,1659,2349,11593,11312,16576,2427,14183,3423,3514,11335,2928,343,2340,1769,326,1123,13996,236,1031,1170,717,1629,1252,1574,988,1558,1648,1036,4562,1884,1735,1811,939,1569,2447,1695,1691,140,1656,1638,1387,2178,2696,1950,1084,814,2563,636,1243,621,614,1162,165,1416,179,479,234,1428,2392,1838,107,2463,1391,48,557,96,165,72,6633,1301,1009,1218,5538,63,212,4701,3946,82,666,66,66,160,1920,151,82,116,83,81,153,5294,558,69,92,103,123,147,100,148,111,86,140,184,208,349,1403,238,1539,2567,370,8925,8084,282,2829,2559,2886,3293,1422,10937,167,890,865,688
ASV_9,284,8998,113,302,181,453,208,3259,92,165,183,14249,341,334,1023,245,47,327,117,195,166,99,2159,2962,1910,1280,988,93,18153,152,198,3862,1025,181,230,98,845,8128,188,245,2977,119,162,160,219,79,159,80,1598,6246,126,382,176,2237,181,212,8733,261,1872,169,183,268,15402,231,388,956,113,2109,3699,827,483,327,2005,519,131,882,778,641,11,290,167,619,2380,607,227,317,169,209,228,3727,172,1938,1561,90,257,461,2848,8151,4313,323,481,115,83,300,303,830,265,2508,3735,165,205,255,4034,218,141,354,198,175,139,8893,121,225,285,22188,228,397,90,386,3229,1399,1532,346,249,274,163,326,3200,3332,13063,2124,150,258,470,182,1004,250,233,161,251,3227,243,218,3462,8152,276,54,229,1340,2084,1556,3702,228,167,187,3954,507,77,149,137,185,65,133,69,150,1451,143,2337,4229,86,179,31,217,164,176,221,266,172,610,163,81,474,204,112,10182,17262,236,202,4363,102,184,4337,86,670,1422,834,605,115,914,372,681,751,3723,9028,907,462,1037,533,193,897,1002,294,172,2948,721,1647,1968,572,1185,1124,138,185,2557,139,226,213,251,8261,661,4005,6153,1069,173,194,168,2332,216,11177,6596,1355,9900,5,301,5177,4059,6832,7645,4555,410,346,464,235,245,347,4166,410,301,399,10283,362,326,607,264,2113,298,98,271,469,306,487,190,12493,582,8610,8539,488,2160,427,1866,122,1981,110,117,179,108,167,69,144,8454,833,2262,193,127,182,227,350,162,193,6563,171,2980,10210,256,200,175,202,6619,535,468,533,4472,281,147,171,7873,7521,5185,6317,126,7973,373,187,195,149,242,204,235,193,218,6027,6363,8334,219,6363,199,228,6537,241,374,212,169,247,4722,419,1136,6962,8752,6006,11224,6960,10995,6488,272,11188,10291,461,13873,8523,9059,5044,10439,11160,9691,7614,457,11670,368,6009,1522,195,12350,5905,3587,7214,2468,5053,2511,771,4346,100,3249,126,1184,715,3857,10156,37,144,11099,6852,109,38,95,32,126,11988,6204,1806,3950,308,75,30,300,232,109,49,110,84,673,9200,337,124,362,122,132,549,282,1880,112,129,61,300,67,53,87,72,64,65,85,96,137,3159,71,3422,145,1296,2787,109,23787,156,82,7230,1013,201,236,104,84,53,128
ASV_13,127,247,4451,104,108,280,153,255,165,61,9163,178,136,187,417,5978,327,140,1334,141,120,92,278,322,195,255,1393,359,723,1836,997,929,208,222,371,81,202,1812,177,2973,192,159,355,819,2654,482,1288,171,102,260,89,53,102,75,6315,654,140,4990,124,335,788,3319,1254,3375,445,433,192,2877,788,1644,572,497,310,151,134,961,7330,2490,9,345,228,2814,297,1846,1448,332,340,411,185,494,182,304,1388,453,1013,487,1136,648,438,311,118,87,99,308,7340,302,20442,379,612,843,2207,503,880,885,141,1562,726,2855,789,292,11060,8049,1617,440,2926,2947,134,3674,1298,9619,531,364,1865,517,173,1401,306,2343,4994,565,117,1009,155,2216,2631,1746,7472,3255,216,2772,1723,709,234,223,326,25,1690,306,3887,1316,1269,209,1588,233,1654,244,191,383,164,155,122,1191,232,739,97,2216,453,1290,103,3162,14,1103,93,4436,1259,167,148,98,131,67,122,596,59,124,184,150,571,292,51,5949,399,1560,295,5218,903,755,4677,2098,2259,1676,2577,2400,4530,3444,1904,1609,1490,314,1165,1859,182,1121,2438,811,4250,538,1739,571,895,341,405,555,355,1190,302,527,585,933,835,351,394,139,2360,372,358,95,342,309,61,359,12,328,239,118,161,2727,512,2724,66,1349,138,4962,6381,377,1554,154,3910,369,4181,118,284,118,1083,71,329,5690,320,1429,353,123,1099,145,615,327,3481,276,2961,212,257,1435,1177,112,2120,169,332,721,900,421,1156,180,4034,991,312,198,133,1135,480,662,9530,299,122,194,161,100,181,12570,114,108,133,10673,351,172,260,15383,13606,13561,12609,199,14194,541,289,261,245,326,388,278,225,276,15083,16355,13909,320,11447,299,343,13238,303,241,1576,754,202,605,135,132,909,1927,1155,1316,1180,1382,1627,534,1451,1945,3373,1610,903,1555,851,1170,792,1305,1309,54,1478,677,824,1117,1583,1517,823,1240,1897,769,1443,851,829,1870,288,2421,227,904,384,1314,1221,122,33,1594,930,25,20,33,11,26,2771,835,1020,906,2801,37,6,2456,1686,24,33,50,20,99,1544,207,52,75,50,40,84,2767,478,41,42,90,66,116,62,113,78,59,72,4418,4790,660,202,101,3682,3694,87,674,171,4108,941,1532,523,3781,145,239,341,13884,136,7571
