ASV_ID,Level of annotation
ASV_1,"d:Bacteria(1.00),p:Bacteroidetes(1.00),c:Bacteroidia(1.00),o:Bacteroidales(1.00),f:Bacteroidaceae(1.00),g:Phocaeicola(1.00)"
ASV_2,"d:Bacteria(1.00),p:Bacteroidetes(1.00),c:Bacteroidia(1.00),o:Bacteroidales(1.00),f:Bacteroidaceae(1.00),g:Phocaeicola(1.00)"
ASV_3,"d:Bacteria(1.00),p:Firmicutes(1.00),c:Clostridia(1.00),o:Clostridiales(1.00),f:Ruminococcaceae(1.00),g:Faecalibacterium(1.00)"
ASV_4,"d:Bacteria(1.00),p:Bacteroidetes(1.00),c:Bacteroidia(1.00),o:Bacteroidales(1.00),f:Bacteroidaceae(1.00),g:Bacteroides(1.00)"
ASV_6,"d:Bacteria(1.00),p:Bacteroidetes(1.00),c:Bacteroidia(1.00),o:Bacteroidales(1.00),f:Prevotellaceae(1.00),g:Prevotella(1.00)"
ASV_5,"d:Bacteria(1.00),p:Bacteroidetes(1.00),c:Bacteroidia(1.00),o:Bacteroidales(1.00),f:Bacteroidaceae(1.00),g:Phocaeicola(1.00)"
ASV_7,"d:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Enterobacterales(1.00),f:Enterobacteriaceae(1.00),g:Pseudescherichia(0.71)"
ASV_8,"d:Bacteria(1.00),p:Bacteroidetes(1.00),c:Bacteroidia(1.00),o:Bacteroidales(1.00),f:Bacteroidaceae(1.00),g:Bacteroides(1.00)"
ASV_9,"d:Bacteria(1.00),p:Bacteroidetes(1.00),c:Bacteroidia(1.00),o:Bacteroidales(1.00),f:Bacteroidaceae(1.00),g:Bacteroides(1.00)"
ASV_13,"d:Bacteria(1.00),p:Bacteroidetes(1.00),c:Bacteroidia(1.00),o:Bacteroidales(1.00),f:Bacteroidaceae(1.00),g:Bacteroides(1.00)"
ASV_10,"d:Bacteria(1.00),p:Bacteroidetes(1.00),c:Bacteroidia(1.00),o:Bacteroidales(1.00),f:Bacteroidaceae(1.00),g:Bacteroides(1.00)"
ASV_12,"d:Bacteria(1.00),p:Bacteroidetes(1.00),c:Bacteroidia(1.00),o:Bacteroidales(1.00),f:Bacteroidaceae(1.00),g:Bacteroides(1.00)"
ASV_11,"d:Bacteria(1.00),p:Firmicutes(1.00),c:Negativicutes(1.00),o:Selenomonadales(1.00),f:Selenomonadaceae(1.00),g:Megamonas(1.00)"
ASV_15,"d:Bacteria(1.00),p:Firmicutes(1.00),c:Clostridia(1.00),o:Clostridiales(1.00),f:Lachnospiraceae(1.00),g:Lachnospiracea_incertae_sedis(1.00)"
ASV_14,"d:Bacteria(1.00),p:Bacteroidetes(1.00),c:Bacteroidia(1.00),o:Bacteroidales(1.00),f:Prevotellaceae(1.00),g:Prevotella(1.00)"
ASV_17,"d:Bacteria(1.00),p:Firmicutes(1.00),c:Clostridia(1.00),o:Clostridiales(1.00),f:Lachnospiraceae(1.00),g:Blautia(1.00)"
ASV_16,"d:Bacteria(1.00),p:Actinobacteria(1.00),c:Actinobacteria(1.00),o:Bifidobacteriales(1.00),f:Bifidobacteriaceae(1.00),g:Bifidobacterium(1.00)"
ASV_18,"d:Bacteria(1.00),p:Firmicutes(1.00),c:Clostridia(1.00),o:Clostridiales(1.00),f:Ruminococcaceae(1.00),g:Faecalibacterium(0.98)"
ASV_19,"d:Bacteria(1.00),p:Bacteroidetes(1.00),c:Bacteroidia(1.00),o:Bacteroidales(1.00),f:Bacteroidaceae(1.00),g:Bacteroides(1.00)"
ASV_20,"d:Bacteria(1.00),p:Actinobacteria(1.00),c:Actinobacteria(1.00),o:Bifidobacteriales(1.00),f:Bifidobacteriaceae(1.00),g:Bifidobacterium(1.00)"
ASV_21,"d:Bacteria(1.00),p:Bacteroidetes(1.00),c:Bacteroidia(1.00),o:Bacteroidales(1.00),f:Porphyromonadaceae(1.00),g:Parabacteroides(1.00)"
ASV_22,"d:Bacteria(1.00),p:Fusobacteria(1.00),c:Fusobacteriia(1.00),o:Fusobacteriales(1.00),f:Fusobacteriaceae(1.00),g:Cetobacterium(0.72)"
ASV_23,"d:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Enterobacterales(1.00),f:Enterobacteriaceae(0.65),g:Siccibacter(0.42)"
ASV_24,"d:Bacteria(1.00),p:Bacteroidetes(1.00),c:Bacteroidia(1.00),o:Bacteroidales(1.00),f:Bacteroidaceae(1.00),g:Phocaeicola(1.00)"
ASV_26,"d:Bacteria(1.00),p:Bacteroidetes(1.00),c:Bacteroidia(1.00),o:Bacteroidales(1.00),f:Bacteroidaceae(1.00),g:Bacteroides(1.00)"
ASV_25,"d:Bacteria(1.00),p:Bacteroidetes(1.00),c:Bacteroidia(1.00),o:Bacteroidales(1.00),f:Bacteroidaceae(1.00),g:Bacteroides(1.00)"
